"Bq" "Long" "Lat" "D"
"1" "1.7" "78.614" "34.916" "U"
"2" "4.4" "79.076" "35.463" "U"
"3" "4.2" "78.031" "34.905" "U"
"4" "5.4" "78.924" "35.273" "U"
"5" "4.1" "77.892" "35.821" "U"
"6" "8.2" "78.576" "35.597" "V"
"7" "3" "77.867" "35.48" "U"
"8" "3.1" "77.867" "35.279" "U"
"9" "8.4" "78.626" "35.614" "V"
"10" "3.2" "79.019" "35.636" "U"
"11" "4.1" "77.861" "35.77" "U"
"12" "5.7" "78.177" "36.044" "U"
"13" "7.7" "78.247" "35.43" "V"
"14" "4.2" "78.639" "36.295" "U"
"15" "5.1" "78.304" "36.161" "U"
"16" "3.5" "78.31" "34.95" "U"
"17" "2.9" "77.766" "36.161" "U"
"18" "3.9" "77.816" "35.558" "U"
"19" "8.4" "78.449" "35.72" "V"
"20" "9.1" "78.455" "35.441" "V"
"21" "3.8" "77.905" "35.497" "U"
"22" "4.8" "79.069" "36.251" "U"
"23" "4.8" "78.848" "35.19" "U"
"24" "4.4" "79.012" "35.128" "U"
"25" "3.2" "78.626" "36.212" "U"
"26" "3.7" "78.171" "35.72" "U"
"27" "3.9" "78.645" "35.871" "U"
"28" "4.9" "79.082" "34.978" "U"
"29" "4.4" "79.069" "36.178" "U"
"30" "2.9" "77.943" "36.318" "U"
"31" "4.8" "78.316" "36.117" "U"
"32" "6.3" "78.342" "35.988" "U"
"33" "7.6" "78.658" "35.676" "V"
"34" "4.1" "78.076" "35.743" "U"
"35" "4.2" "78.531" "36.29" "U"
"36" "3.5" "78.854" "35.782" "U"
"37" "4.2" "77.791" "35.525" "U"
"38" "9.5" "78.55" "35.352" "V"
"39" "6" "78.259" "35.988" "U"
"40" "6.9" "78.379" "36.066" "U"
"41" "3.2" "77.924" "35.022" "U"
"42" "4.7" "78.531" "35.821" "U"
"43" "3.5" "79.006" "35.469" "U"
"44" "1.6" "78.342" "34.916" "U"
"45" "5.5" "79.076" "35.352" "U"
"46" "3.5" "78.082" "35.028" "U"
"47" "3.1" "78.145" "36.256" "U"
"48" "7.4" "78.747" "35.642" "V"
"49" "4.5" "77.683" "35.67" "U"
"50" "6.5" "78.304" "35.62" "V"
"51" "8.3" "78.62" "35.681" "V"
"52" "5.4" "78.81" "35.402" "U"
"53" "3.7" "78.019" "35.167" "U"
"54" "6.3" "78.259" "35.525" "V"
"55" "4.5" "78.392" "35.709" "U"
"56" "3.8" "78.538" "36.184" "U"
"57" "3.2" "79.076" "36.016" "U"
"58" "4.6" "78.658" "35.167" "U"
"59" "2.1" "78.493" "34.899" "U"
"60" "5.6" "78.297" "35.932" "U"
"61" "4.6" "78.342" "35.29" "U"
"62" "5.4" "79.107" "35.273" "U"
"63" "4.8" "78.55" "35.837" "U"
"64" "3.8" "78.785" "35.966" "U"
"65" "5.2" "78.658" "35.301" "U"
"66" "4.5" "77.702" "35.435" "U"
"67" "5.5" "79.12" "35.313" "U"
"68" "5.9" "79.069" "35.279" "U"
